STATION,NAME,DATE,TAVG
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/12/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/13/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/14/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/15/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/16/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/17/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/18/2017,68
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/19/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/20/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/21/2017,66
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/22/2017,66
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/23/2017,68
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/24/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/25/2017,67
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/26/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/27/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/28/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/29/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/30/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/31/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/1/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/2/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/3/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/4/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/5/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/6/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/7/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/8/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/9/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/10/2017,76
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/11/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/12/2017,77
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/13/2017,76
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/14/2017,79
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/15/2017,80
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/16/2017,75
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/17/2017,77
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/18/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/19/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/20/2017,76
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/21/2017,76
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/22/2017,77
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/23/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/24/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/25/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/26/2017,75
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/27/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/28/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/29/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",9/30/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/1/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/2/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/3/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/4/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/5/2017,75
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/6/2017,80
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/7/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/8/2017,77
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/9/2017,80
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/10/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/11/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/12/2017,80
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/13/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/14/2017,79
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/15/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/16/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/17/2017,76
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/18/2017,80
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/19/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/20/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/21/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/22/2017,82
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/23/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/24/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/25/2017,75
