"STATION","NAME","DATE","TMAX","TMIN"
"NOE00134634","LEINSTRAND, NO","2018-03-14",,
"NOE00134634","LEINSTRAND, NO","2018-03-15",,
"NOE00134634","LEINSTRAND, NO","2018-03-16",,
"NOE00134634","LEINSTRAND, NO","2018-03-17",,
"NOE00134634","LEINSTRAND, NO","2018-03-18",,
"NOE00134634","LEINSTRAND, NO","2018-03-19",,
"NOE00134634","LEINSTRAND, NO","2018-03-20",,
"NOE00134634","LEINSTRAND, NO","2018-03-21",,
"NOE00134634","LEINSTRAND, NO","2018-03-22",,
"NOE00134634","LEINSTRAND, NO","2018-03-23",,
"NOE00134634","LEINSTRAND, NO","2018-03-24",,
"NOE00134634","LEINSTRAND, NO","2018-03-25",,
"NOE00134634","LEINSTRAND, NO","2018-03-26",,
"NOE00134634","LEINSTRAND, NO","2018-03-27",,
"NOE00134634","LEINSTRAND, NO","2018-03-28",,
"NOE00134634","LEINSTRAND, NO","2018-03-29",,
"NOE00134634","LEINSTRAND, NO","2018-03-30",,
"NOE00134634","LEINSTRAND, NO","2018-03-31",,
"NOE00134634","LEINSTRAND, NO","2018-04-01",,
"NOE00134634","LEINSTRAND, NO","2018-04-02",,
"NOE00134634","LEINSTRAND, NO","2018-04-03",,
"NOE00134634","LEINSTRAND, NO","2018-04-04",,
"NOE00134634","LEINSTRAND, NO","2018-04-05",,
"NOE00134634","LEINSTRAND, NO","2018-04-06",,
"NOE00134634","LEINSTRAND, NO","2018-04-07",,
"NOE00134634","LEINSTRAND, NO","2018-04-08",,
"NOE00134634","LEINSTRAND, NO","2018-04-09",,
"NOE00134634","LEINSTRAND, NO","2018-04-10",,
"NOE00134634","LEINSTRAND, NO","2018-04-11",,
"NOE00134634","LEINSTRAND, NO","2018-04-12",,
"NOE00134634","LEINSTRAND, NO","2018-04-13",,
"NOE00134634","LEINSTRAND, NO","2018-04-14",,
"NOE00134634","LEINSTRAND, NO","2018-04-15",,
"NOE00134634","LEINSTRAND, NO","2018-04-16",,
"NOE00134634","LEINSTRAND, NO","2018-04-17",,
"NOE00134634","LEINSTRAND, NO","2018-04-18",,
"NOE00134634","LEINSTRAND, NO","2018-04-19",,
"NOE00134634","LEINSTRAND, NO","2018-04-20",,
"NOE00134634","LEINSTRAND, NO","2018-04-21",,
"NOE00134634","LEINSTRAND, NO","2018-04-22",,
